player_name,country_code
BARFLY123,AU
counterink05,GB
oRcimTV,AU
lazereel,SE
Retired_Panda,US
Mechtalica,US
m0uSe,CZ
StormBilly,US
dmbf22,GE
Bum_Crumbs,AU
FlynnV,US
critta,AU
hakimhc,GB
Arrkkangel,AU
cwis,GB
LaBomba,AU
joshring,GB
Pertusin,RU
CoreAfus,FR
Catu,FR
bluckduck,KR
kaballas,AU
Ares_1,UA
Masstok,US
Tmax,ES
Shekwess,RS
iHerring,AU
Mantorok68,NL
3snke,US
PronooP,DE
Asikiri,HR
Meitz,MD
mKeYY,DE
rogerEPSILON,IE
FELINEAIDS,US
predaturd,AU
Tibious,AU
Spreukenindekeuken,NL
nomad579,TH
salos,US
ginjaninja,GB
Hubkuba,CZ
aomsin1945,TH
RatMaiden,AU
RandomPlayer743,RU
Hunscotti,FI
Galuion,DE
Apothic_Reaper,AU
12312,DE
Lasthit,AU
figjam89,AU
DestroMech,AU
API_ZA,ZA
BarbaricTinTin,ZA
Gaming,ZA
DJALPHAMIKE,ZA
arebee,AU
MasterBeeman,AU
gflow,NL
moxxos,US
[POES]Iz4,ZA
TicksEnufTho,??
[O9K]Analizer,SI
Nuttrition,LT
RoyalFLY,NL
dorkalord,SI
swiss_cheese,??
TTVnaughtytoasts,PH
Xthrawn,FI
uaregrunt,NL
Darkfury,SG
isbedabrick,US
HardCoreDon,GB
r1ghty0th3n,AU
lezlec,DE
BattleDuck,AU
Bandera_ua,UA
bansko,FR
CPU_EASY,IR
Px0131,ES
Jerdaz,NL
Kratoswer,IT
Alteratoforte,CH
okomaru111,TW
Screaming,US
Nightwalker,DE
SkillChange,ZA
AdamGamer,ES
TwoTours,FR
golem13,ES
gamernoe,ES
Grandjamster,GB
Glonkey_Kong,GB
TimDestroyerOfWorlds,NL
king_of_wo1f,KR
BigGunsGoBoom,DE
scotified,CA
Mnogohodovochnik,RU
VortexPython,NZ
[BAC]Thugsoraneptune,GB
nikolafeer,RS
GypsyRex,US
Jadolv,SA
Greg96,GB
Ivanoo,US
_Freefire_,DE
sirboux,GR
Ntroulis,GR
Reikkon,LT
Roozly,RO
Pier,BE
[RY]RichMan,SG
[NWO]Dhiras,IN
MonkeyTennis,GB
[A7O]MeTaMorPheX,??
Miklas123,DE
Unknown_CLown,AU
DonKojo,DE
Infernal_Guard,DK
TaktikBrezel,DE
GermanLeader,DE
DerBascher,DE
elloe,ID
kanilan,ES
demonCesus9999,RO
Yuudachii,ID
CloterChohan,ID
KaboomboomPow,PH
SilverbackSam,US
JohnaVNR,BE
TheAce016,AU
Bl00dDem0n,DE
Marc_winner,DE
IanNS,FR
Macrocosm,AU
malikk,IT
KoalaSama,BR
YYDS001,CN
YourHonor,NO
Crossperia,ID
Hawesome,AU
zazafree,KR
LouKey,ZA
Potens,HR
MKnet,DE
Iammeatwad,GB
[FSK21]ChaosCore,DE
Bluction,US
shnux,AU
olivetree,CN
Afrothunder,GB
Shary,DE
DONTPATTHECAT,TH
ZzOMBIE,EG
Oxymoron,CZ
Taktibear,DE
meterpaffay,DE
Howie_Dewitt,DE
