userId,name,countryCode
157872,Siucul,DE
155994,Axoim,DE
115151,Andromeda1,NL
77575,Desker,US
125515,betterstrategy,US
362508,BiggusDickusThe3rd,GB
362789,Tronix,DE
161172,XTA_ApeX,CA
121792,IDKFeckingCaitlyn,GB
83956,TrollHardGoPro,CA
62198,Tink3r,US
64737,HoldMyWeed,US
262787,Horlof,BR
89469,s0uthy,US
135892,Ricthum,TR
133227,DatCoder,BARB
266079,Bodhisattva,US
184563,[DmE]Twinkle,GB
171251,TibsMcGee,US
109533,Darkfury,SG
178043,NuclearStudent,TW
28506,BlueFrost,US
18003,Methodical_Killer,SE
85070,beardedcoder,US
359756,Kyle_25,GB
346064,ByrdXye,US
317151,[GerBoyz]Gmrb,DE
86650,wW]Warlock,US
25297,Bobbyy,DE
71812,Xthrawn,FI
74075,isbedabrick,US
110704,BaguetteDuMarmite,PL
327327,Nwabi,US
211892,Sunshines,US
58347,deathstalker14,US
69237,Gav,US
264862,Ariah,US
18982,Nekrac,CZ
19170,K1llersmail,CZ
19022,Gelvor,CZ
19165,knight1620,CZ
79877,DeltaStorm,US
353717,[Crd]RockCat,CA
79878,Dark5tar1,US
358468,KaboomboomPow,PH
51769,Wintergaming,US
272975,Buzzwellman,CA
67721,FusRoDah,GB
366718,kainepaine,GB
254959,NoobLube,US
331198,dangodangodango,US
51933,DeepGift,US
63434,eliteCompiler,KE
371834,Vivi07,PH
197651,Yeetly,GB
54085,WhosSly,US
375754,Choc01at3cak3,US
68095,TorontoNick,CA
63110,ColdFlame53,US
362954,Hassathur,US
117336,Vismundcygnus,US
206670,mimi121314,VN
61591,SamsoniteMines,US
47674,smig,US
60832,Sux,US
36287,Bobtree1,US
163507,Deimos935,US
319747,Impuls3,US
287012,NoobSlayer,US
364459,JOEMO,EG
273779,bob7,NL
238608,KnightV1,US
346274,[Crd]YOUNS,EG
114422,mysticalhunter,PL
363942,Project_Liebchen,US
4058,l2edVipel2,US
159702,[osen]indev,RU
210991,Gaindolftheswole,US
370056,JayCee7,GB
266557,Echogamer,CZ
